id;g_uid;group_name;local_group_name;office_site_name;comments;logo_image_url;created_by;created_on;updated_by;updated_on
1;15441;Glen orchestrate connecting;bypass Account;quantifying;Consultant Dynamic;Central integrate Mexico;24174;2022-08-03T01:56:27;12230;2022-08-02T15:00:03
2;82894;Cambodia Frozen;Roads up;parsing;transmitting;Berkshire customer;99404;2022-08-02T10:53:19;46228;2022-08-02T16:11:17
3;41230;Internal EXE;Streamlined Cotton;Liaison;reboot Regional;administration;75085;2022-08-02T12:56:30;6516;2022-08-02T18:07:45
4;80700;niches array 17(E.U.A.-17);enterprise Cambridgeshire deposit;Corporate panel technologies;International functionalities;Computers Tasty brand;98971;2022-08-03T02:10:22;2179;2022-08-02T10:01:54
5;29553;USB SMS Sleek;Investment array Parkway;Multi-lateral;Legacy Chicken;primary Industrial;33024;2022-08-03T02:17:46;2618;2022-08-03T07:17:47
6;38466;Assurance Table;drive;National Concrete;deposit benchmark;Representative;88666;2022-08-02T11:50:12;56909;2022-08-03T04:37:49
7;55734;Baby;Tenge Djibouti;reboot multi-state Chicken;Markets;orange Guinea-Bissau;17536;2022-08-02T17:10:59;37274;2022-08-02T09:39:17
8;27297;Tools system Health;approach;impactful;bottom-line;teal Palestinian;381;2022-08-02T14:16:05;59717;2022-08-02T16:24:55
9;68978;SMTP;Expanded interface viral;leverage Borders;monetize plum;array Coordinator;88694;2022-08-03T05:25:23;27213;2022-08-02T10:15:08
10;34836;dot-com;bricks-and-clicks parsing;Right-sized 1080p;Small SMS;intranet Meadow;62140;2022-08-02T12:35:50;67263;2022-08-03T03:00:46
