id;g_uid;sensor_type;manufacturer;product_code;sensor_measure;model_name;properties;description;created_by;created_on;updated_by;updated_on
1;e536a4e2-3c53-4fda-9479-b7c62e11b66d;82310;collaborative Accountability;online Shoes;65009;Architect SSL next-generation;connecting;copy invoice;34612;2022-08-02T14:52:56;16848;2022-08-03T07:48:25
2;676691f5-b9c7-4182-a3fe-53a800d7ddee;24406;EXE SQL;payment;63014;index Terrace deposit;Berkshire;interface calculating;91814;2022-08-02T15:07:03;9870;2022-08-02T16:17:32
3;e6ae8e83-3b73-4839-8776-e3381449a2d5;47619;Guinea-Bissau state;connect;15136;Alabama;recontextualize Implemented;neural Rustic;22513;2022-08-02T13:08:28;97745;2022-08-03T06:57:37
4;c581c938-5e67-4c5e-a7ef-13e52aa475e3;16756;synergistic Steel;maximize;61573;wireless Overpass methodologies;Maryland grid-enabled Reunion;Internal cross-platform;49662;2022-08-03T03:06:39;38366;2022-08-02T22:31:50
5;c0de4cfd-8e7c-497e-a04e-cda148c4e7bb;60738;Total;Electronics Refined;33782;Data Fantastic Reduced;HTTP generate connect;Corners Fresh;17443;2022-08-02T10:48:37;4095;2022-08-02T13:07:33
6;e2e96b29-a63e-4bea-8650-8e5ef3b196fe;38676;deposit primary primary;Usability;52949;content online benchmark;PCI architectures;driver world-class;64618;2022-08-02T22:35:09;99525;2022-08-02T17:40:47
7;d5f6ca7e-6efc-4ebe-b079-6ae706be1c78;76729;circuit Dong;Korea;81498;hybrid;Pound;Representative;66406;2022-08-02T15:12:45;9547;2022-08-03T06:10:22
8;1abf886d-a53b-499d-a33e-cf6129897bd4;21023;mission-critical;software Up-sized;75647;customer invoice Bedfordshire;model communities;optimal firewall;33440;2022-08-03T00:06:57;48519;2022-08-02T19:20:56
9;936db223-ce08-47c8-a2ad-6e7eb18e5444;79207;payment;user-centric Customer-focused;96752;program;Table;Rustic cross-platform Granite;29178;2022-08-03T00:00:08;64637;2022-08-03T04:04:49
10;101a63ac-5839-45e0-b23e-9ad4292be27e;93231;gold matrix bypassing;Operations Metal relationships;87594;Executive Executive;El Product back-end;Automated;14911;2022-08-02T10:02:49;35377;2022-08-02T17:30:58
